,location,address,city,zip_code,lat,lon,category,state,info
0,Carson,218 E. Carson Bv,,28203,35.2189047,-80.8518354,Blue,,
1,Charlotte Transportation Center/Arena,303 E. Trade St,,28202,35.22551000000001,-80.8408697,Blue,,
2,I-485/South Blvd,9508 South Bv,,28273,35.1068785,-80.88223719999999,Blue,,
3,Sharon Road West,8815 Crump Rd,,28134,35.119992,-80.88223699999999,Blue,,
4,Arrowood,7717 England St,,28273,35.134202,-80.87664099999999,Blue,,
5,Archdale,6230 South Bv,,28217,35.15068,-80.876791,Blue,,
6,Tyvola,5703 Old Pineville Rd,,28217,35.1621374,-80.8778377,Blue,,
7,Woodlawn,4756 Old Pineville Rd,,28217,35.1762003,-80.87928819999999,Blue,,
8,Scaleybark,3750 South Bv,,28209,35.192032,-80.87552199999999,Blue,,
9,New Bern,129 New Bern St,,28203,35.199771,-80.86895899999999,Blue,,
10,East/West,1821 Camden St,,28203,35.2124302,-80.8588616,Blue,,
11,Bland St,1511 Camden Rd,,28203,35.2156759,-80.8553325,Blue,,
12,3rd St/Convention Center,305 E. 3rd St,,28202,35.222255,-80.8454297,Blue,,
13,7th St,260 E. 7th St,,28202,35.227316,-80.838126,Blue,,
14,Stonewall,260 E. Stonewall St,,28202,35.2212868,-80.84699429999999,Blue,,
15,9th Street,239 E 9th St,,28202,35.229536,-80.835229,Blue,,
16,Parkwood,401 Parkwood Ave,,28206,35.236962,-80.823927,Blue,,
17,25th Street,2215 N Brevard St,,28206,35.2412926,-80.8173566,Blue,,
18,36th Street,400 E 36th St,,28206,35.2493225,-80.80604799999999,Blue,,
19,Tom Hunter,6501 N Tryon St,,28213,35.2777079,-80.766727,Blue,,
20,JW Clay Blvd,9101 N Tryon St,,28262,35.309976,-80.7462621,Blue,,
21,Old Concord Rd,5600 Old Concord Rd,,28213,35.2620859,-80.772476,Blue,,
22,Sugar Creek,700 E Sugar Creek Rd,,28205,35.2516738,-80.7912187,Blue,,
23,UNC Charlotte,9025 Cameron Blvd,,28262,35.3117307,-80.73376320000001,Blue,,
24,University City Blvd,7201 N Tryon St,,28262,35.2867468,-80.76114869999999,Blue,,
25,McCullough,8315 N Tryon St,,28262,35.3007092,-80.7534531,Blue,,
