location,address,city,zip_code,lat,lon,category,state,info
LaSalle Street,,,,35.26298,-80.8547,Gold,,
Russell Av,,,,35.25703,-80.85558,Gold,,
Booker Avenue/Oaklawn,,,,35.2538,-80.85597,Gold,,
French Street,,,,35.24685,-80.85679,Gold,,
Johnson C. Smith University,,,,35.24173,-80.85869,Gold,,
Bruns Avenue,,,,35.24026,-80.85843,Gold,,
Wesley Heights Way,,,,35.2371,-80.85866,Gold,,
Johnson & Wales,,,,35.2338,-80.85113,Gold,,
Charlotte Gateway Station,,,,35.23131,-80.84773,Gold,,
Mint Street,,,,35.22942,-80.84566,Gold,,
Tryon Street,,,,35.2272,-80.84307,Gold,,
Hawthorne and 5th,,,,35.23285,-80.81108,Gold,,
Veterans Park,,,,35.21974,-80.80409,Gold,,
Morningside Drive,,,,35.2193,-80.79923,Gold,,
Arnold Drive,,,,35.21796,-80.7944,Gold,,
Briar Creek Road,,,,35.21695,-80.79093,Gold,,
Eastway Drive,,,,35.21553,-80.78065,Gold,,
Sheridan Drive,,,,35.21448,-80.77286,Gold,,
Derby Acres,,,,35.21374,-80.77026,Gold,,
Landsdale Dr/Rosehaven Dr,,,,35.21247,-80.76433,Gold,,
Winterfield Place,,,,35.21082,-80.75911,Gold,,
Eastland Mall,,,,35.19299,-80.76105,Gold,,
Elizabeth and Hawthorne,,,,35.2129,-80.82559,Gold,,
Eastway Crossing,,,,35.21591,-80.78447,Gold,,
Barnhardt,,,,35.22132,-80.81854,Gold,,
Rosa Parks Place,,,,35.2732,-80.85441,Gold,,
Montana Dr,,,,35.26828,-80.854,Gold,,
CTC/Arena,,,,35.22545,-80.84074,Gold,,
Davidson St,,,,35.2229,-80.83801,Gold,,
Central Piedmont Community College,,,,35.20272,-80.82971,Gold,,
McDowell Street,,,,35.22122,-80.83608,Gold,,
Hawthorne and 8th,,,,35.23285,-80.81108,Gold,,
The Plaza,,,,35.22026,-80.8108,Gold,,
Sunnyside,,,,35.21981,-80.81881,Gold,,
Irwin Avenue,,,,35.23477,-80.85246,Gold,,
