id,location,address,city,zip_code,lat,lon,category,state,info
1,Erwin-Oehler House Acreage,14401 Huntersville-Concord Rd,Huntersville,,35.4168189,-80.804446,Historic,NC,Land
2,McLaughlin-Bost House,415 W John St,Matthews,,35.1185515,-80.7270503,Historic,NC,19th Century Vernacular
3,Park Avenue Mill Village,411 Park Ave,Pineville,,35.0815703,-80.8936154,Historic,NC,Mill Village
4,Hamilton Jones House,201 Cherokee Rd,Charlotte,,35.2016519,-80.8212345,Historic,NC,Tudor Revival
5,Pineville Commercial Block,318 Main St,Pineville,,35.0858685,-80.8906765,Historic,NC,Commercial
6,W.D. Beaty House,2400 Park Ln,Charlotte,,35.251844,-80.948175,Historic,NC,Victorian
7,John Hunter House,5607 Sardis Rd,Charlotte,,35.162133,-80.784307,Historic,NC,Greek Revival
8,Mint Museum of Art,2730 Randolph Rd,Charlotte,,35.1973424,-80.8146806,Historic,NC,Federal
9,Randolph Scott House,1301 Dilworth Rd,Charlotte,,35.2099933,-80.8438767,Historic,NC,Colonial Revival
10,Hoskins Mill,201 S Hoskins Rd,Charlotte,,35.2638694,-80.8859437,Historic,NC,Cotton Mill
11,Big Rock Rock Shelter,6500 Elmstone Dr,Charlotte,,35.061696,-80.826982,Historic,NC,Exposed Boulders
12,Tompkins Machine Shop,1900 South Blvd,Charlotte,,35.2109954,-80.8592995,Historic,NC,Industrial
13,McCausland Building-Thacker's Restaurant,221 S Tryon St,Charlotte,,35.2259534,-80.8446717,Historic,NC,Commercial
14,Providence Presbyterian Church,10140 Providence Church Ln,Charlotte,,35.0718152,-80.7726629,Historic,NC,Federal
15,Jones-Garibald House,228 E Park Ave,Charlotte,,35.2127163,-80.8547955,Historic,NC,Neoclassical
16,Torrance House & Store,8231 Gilead Rd,Huntersville,,35.4072248,-80.8863543,Historic,NC,Federal
17,Crutchfield-Bomar-Brem House,307 East Blvd,Charlotte,,35.2108956,-80.8560495,Historic,NC,Queen Anne
18,McCausland Building-Thacker's Restaurant,221 S Tryon St,Charlotte,,35.2259534,-80.8446717,Historic,NC,Commercial
19,Providence Women's Club Community House,9735 Community House Rd,Charlotte,,35.036843,-80.8278094,Historic,NC,Log
20,Thrift Depot of the Piedmont & Northern Railroad Company,8030 Old Mt Holly Rd,Charlotte,,35.276944,-80.939734,Historic,NC,19th Century Train Station
21,Morgan School,510 S Torrence St,Charlotte,,35.2101413,-80.8334971,Historic,NC,Beaux Arts
22,Wadsworth House,400 S Summit Ave,Charlotte,,35.2332763,-80.8609786,Historic,NC,Bungalow
23,Ratcliffe-Otterbourg House,2100 Randolph Rd,Charlotte,,35.2072553,-80.8215805,Historic,NC,Bungalow
24,Smithville Rosenwald School,19412 South Hill St,Cornelius,,35.4803883,-80.8717221,Historic,NC,Vernacular
25,Dinkins Property Cemetery,10600 Nations Ford Rd,Charlotte,,35.1179777,-80.906904,Historic,NC,Cemetery
26,Stratton House,923 W Fourth St Ext,Charlotte,,35.2326797,-80.8539275,Historic,NC,Land
27,Leeper & Wyatt Store ,1923 South Blvd,Charlotte,,35.2100379,-80.8593356,Historic,NC,Commercial
28,Rural Hill Plantation,4020 Neck Rd,Charlotte,,35.381546,-80.9520749,Historic,NC,Vernacular
29,Holt-Henderson-Copeland House,305 N Main St,Davidson,,35.5009264,-80.8480498,Historic,NC,Victorian Italianate
30,Robinson House,8716 Steele Creek Rd,Charlotte,,35.169252,-80.964521,Historic,NC,Vernacular
31,Charlotte Fire Station # 4,420 W Fifth St,Charlotte,,35.23128,-80.8453255,Historic,NC,1920s Fire Station
