location,address,city,zip_code,lat,lon,category,state,info
Erwin-Oehler House Acreage,14401 Huntersville-Concord Rd,Huntersville,,35.4168189,-80.804446,historic,NC,Land
McLaughlin-Bost House,415 W John St,Matthews,,35.1185515,-80.7270503,historic,NC,19th Century Vernacular
Park Avenue Mill Village,411 Park Ave,Pineville,,35.0815703,-80.8936154,historic,NC,Mill Village
Hamilton Jones House,201 Cherokee Rd,Charlotte,,35.2016519,-80.8212345,historic,NC,Tudor Revival
Pineville Commercial Block,318 Main St,Pineville,,35.0858685,-80.8906765,historic,NC,Commercial
W.D. Beaty House,2400 Park Ln,Charlotte,,35.251844,-80.948175,historic,NC,Victorian
John Hunter House,5607 Sardis Rd,Charlotte,,35.162133,-80.784307,historic,NC,Greek Revival
Mint Museum of Art,2730 Randolph Rd,Charlotte,,35.1973424,-80.8146806,historic,NC,Federal
Randolph Scott House,1301 Dilworth Rd,Charlotte,,35.2099933,-80.8438767,historic,NC,Colonial Revival
Hoskins Mill,201 S Hoskins Rd,Charlotte,,35.2638694,-80.8859437,historic,NC,Cotton Mill
Big Rock Rock Shelter,6500 Elmstone Dr,Charlotte,,35.061696,-80.826982,historic,NC,Exposed Boulders
Tompkins Machine Shop,1900 South Blvd,Charlotte,,35.2109954,-80.8592995,historic,NC,Industrial
McCausland Building-Thacker's Restaurant,221 S Tryon St,Charlotte,,35.2259534,-80.8446717,historic,NC,Commercial
Providence Presbyterian Church,10140 Providence Church Ln,Charlotte,,35.0718152,-80.7726629,historic,NC,Federal
Jones-Garibald House,228 E Park Ave,Charlotte,,35.2127163,-80.8547955,historic,NC,Neoclassical
Torrance House & Store,8231 Gilead Rd,Huntersville,,35.4072248,-80.8863543,historic,NC,Federal
Crutchfield-Bomar-Brem House,307 East Blvd,Charlotte,,35.2108956,-80.8560495,historic,NC,Queen Anne
McCausland Building-Thacker's Restaurant,221 S Tryon St,Charlotte,,35.2259534,-80.8446717,historic,NC,Commercial
Providence Women's Club Community House,9735 Community House Rd,Charlotte,,35.036843,-80.8278094,historic,NC,Log
Thrift Depot of the Piedmont & Northern Railroad Company,8030 Old Mt Holly Rd,Charlotte,,35.276944,-80.939734,historic,NC,19th Century Train Station
Morgan School,510 S Torrence St,Charlotte,,35.2101413,-80.8334971,historic,NC,Beaux Arts
Wadsworth House,400 S Summit Ave,Charlotte,,35.2332763,-80.8609786,historic,NC,Bungalow
Ratcliffe-Otterbourg House,2100 Randolph Rd,Charlotte,,35.2072553,-80.8215805,historic,NC,Bungalow
Smithville Rosenwald School,19412 South Hill St,Cornelius,,35.4803883,-80.8717221,historic,NC,Vernacular
Dinkins Property Cemetery,10600 Nations Ford Rd,Charlotte,,35.1179777,-80.906904,historic,NC,Cemetery
Stratton House,923 W Fourth St Ext,Charlotte,,35.2326797,-80.8539275,historic,NC,Land
Leeper & Wyatt Store ,1923 South Blvd,Charlotte,,35.2100379,-80.8593356,historic,NC,Commercial
Rural Hill Plantation,4020 Neck Rd,Charlotte,,35.381546,-80.9520749,historic,NC,Vernacular
Holt-Henderson-Copeland House,305 N Main St,Davidson,,35.5009264,-80.8480498,historic,NC,Victorian Italianate
Robinson House,8716 Steele Creek Rd,Charlotte,,35.169252,-80.964521,historic,NC,Vernacular
Charlotte Fire Station # 4,420 W Fifth St,Charlotte,,35.23128,-80.8453255,historic,NC,1920s Fire Station
Rogers House,524 East Blvd,Charlotte,,35.2082886,-80.8536713,historic,NC,Dutch Colonial
Neel House,5517 Samuel Neel Rd,Charlotte,,35.148086,-80.999814,historic,NC,Federal
Falls Store,300 Mock Rd,Davidson,,35.4997501,-80.8530767,historic,NC,1950s Commercial
Heath & Reid General Store,196 S Trade St,Matthews,,35.1145429,-80.7242352,historic,NC,Commercial
Park Avenue Mill Village,425 Park Ave,Pineville,,35.082306,-80.8950308,historic,NC,Mill Village
Blythe Homestead,16001 Beatties Ford Rd,Charlotte,,35.428827,-80.921331,historic,NC,Federal (altered)
Park Avenue Mill Village,424 Park Ave,Pineville,,35.0826816,-80.8947823,historic,NC,Mill Village
Frederick Apartments,515 N Church St,Charlotte,,35.2318842,-80.8395521,historic,NC,Italian Renaissance
Charlotte City Hall,600 E Trade St,Charlotte,,35.2220747,-80.8381681,historic,NC,Beaux Arts
Holly Bend,3701 Neck Rd,Charlotte,,35.38286,-80.957026,historic,NC,Federal
Query-Spivey-McGee Building,600 S College St,Charlotte,,35.2223914,-80.8479417,historic,NC,Commercial
Wing Haven ,260 Ridgewood Ave,Charlotte,,35.179162,-80.8413036,historic,NC,Colonial Revival
Thies Building,113 E Eighth St,Charlotte,,35.2299251,-80.8380572,historic,NC,Land
