location,address,city,zip_code,lat,lon,category,state,info
CPCC Levine,,,,35.10332384,-80.69742148,Silver,,
Matthews Sportsplex,,,,35.1120937,-80.70513449,Silver,,
Matthews Downtown / Hospital,,,,35.11950578,-80.71641363,Silver,,
Matthews Township Parkway,,,,35.12634967,-80.72825131,Silver,,
Sardis Rd / Galleria,,,,35.13641361,-80.73775368,Silver,,
Village Lake Dr,,,,35.15804741,-80.74870265,Silver,,
Conference Dr,,,,35.18179773,-80.75569473,Silver,,
Sharon Amity Rd,,,,35.19365496,-80.76628392,Silver,,
Amity Gardens,,,,35.20097447,-80.77928479,Silver,,
Coliseum / Ovens,,,,35.20371608,-80.79608098,Silver,,
Morningside Dr,,,,35.21328262,-80.80343634,Silver,,
Pecan Ave,,,,35.21807332,-80.81479933,Silver,,
Central Ave,,,,35.22087677,-80.82631392,Silver,,
West Morehead St / Suttle Ave,,,,35.22325991,-80.87230828,Silver,,
Remont Rd,,,,35.22401776,-80.88321106,Silver,,
Ashley Rd,,,,35.2242649,-80.89012956,Silver,,
Morris Field Dr,,,,35.22682311,-80.91124593,Silver,,
Wesley Heights / Summit Ave,,,,35.22693341,-80.86484601,Silver,,
Third Ward / McNinch St,,,,35.22903501,-80.85607994,Silver,,
First Ward / Blue Line,,,,35.23080459,-80.83347308,Silver,,
Charlotte Gateway Station,,,,35.23098566,-80.84843092,Silver,,
Stafford Dr,,,,35.23395,-80.93328,Silver,,
Fourth Ward / Graham St,,,,35.23532754,-80.84189885,Silver,,
Airport,,,,35.23548999,-80.94358811,Silver,,
I-485,,,,35.2390923,-80.96564316,Silver,,
Sam Wilson,,,,35.24167941,-80.98263006,Silver,,
Belmont,,,,35.25133432,-81.02651348,Silver,,
